,title,date,links
50,NWU Gender based violence awareness campaign,2021-04-05,https://www.youtube.com/watch?v=nPmDuPAFfEc
51,Rhythm City Gender Based Violence,2020-08-17,https://www.youtube.com/watch?v=Y8VV_Q2euc4
52,16 Days of Activism against GBV,2021-04-29,https://www.youtube.com/watch?v=uXwsO8L3quo
53,Town Hall Discussion: The future of peace in Nigeria,2021-05-26,https://www.youtube.com/watch?v=n9LMw_vJBng
54,School related gender-based violence against children during a pandemic,2021-03-20,https://www.youtube.com/watch?v=iqsGmeLlJbk
55,GLAD 2021 AGM: DRF and partners’ work on Gender based violence during COVID,2021-03-08,https://www.youtube.com/watch?v=XUBBWY5adRk
56,16 Days of Activism against Gender-Based Violence - TIKI MAUSI,2020-12-08,https://www.youtube.com/watch?v=QcGVZqbAlgA
57,I stand against Gender Based Violence PSA,2020-12-13,https://www.youtube.com/watch?v=Q7q_EdMYgJo
58,Will Nigeria Pass A Gender Equality Bill?,2020-03-13,https://www.youtube.com/watch?v=JizYZ1wvvHg
59,The Role of a GOOD POLICE man or woman in addressing Gender-Based Violence in our society,2021-03-29,https://www.youtube.com/watch?v=yI8u2bLIgHs
60,"Gender-Based Violence: Causes, Effects and Efforts",2020-06-17,https://www.youtube.com/watch?v=YQ6ZQ_Rk15g
61,Episode 4: Gender-Based Violence,2021-01-08,https://www.youtube.com/watch?v=PsUm4ay7cug
62,#EndGBV Confessions of an ex-serial molester  #EndRape - Vic'Adex,2021-03-27,https://www.youtube.com/watch?v=6dLi8HYqpVk
63,COVID Is Creating a Deadly Mental Health Crisis in America,2021-01-22,https://www.youtube.com/watch?v=tX9NYVkczl0
64,Song for men to end gender-based violence,2020-09-18,https://www.youtube.com/watch?v=7glczHNcJeA
65,"Presentation by Barr Eze Onyekpere on Advocacy Visit to NSCDC, Sokoto",2021-03-03,https://www.youtube.com/watch?v=UXiUaxJA_3A
66,Woman beating up her boyfriend in public,2020-09-04,https://www.youtube.com/watch?v=v1Y9f2Z3A18
67,#TahawouJigueen 13: 1st Lady of The Gambia reminds us of our responsibility to end GBV,2020-12-10,https://www.youtube.com/watch?v=v2WXxYpprrI
68,'Gender-based violence reaches pandemic levels in SA',2020-12-22,https://www.youtube.com/watch?v=eFfbWlLn6Mo
69,Male Senators Vote Against Addition of Gender Equality in Nigeria's Constitution.,2020-03-14,https://www.youtube.com/watch?v=bKQgQgJ9qtA
70,Why were Nigerian women rioting in 1929? - BBC What's New,2020-12-26,https://www.youtube.com/watch?v=AK3JW7hmrpU
71,#Educate4Equality: Gender-Based Violence,2020-11-04,https://www.youtube.com/watch?v=ziTzZhKpsbA
72,Don't Mess With Me: Combating Gender-based Violence in South Asia Through Art and Engagement,2021-02-18,https://www.youtube.com/watch?v=1zZbZlXKWmo
73,A UBC Connects Masterclass with Maaza Mengiste,2021-06-07,https://www.youtube.com/watch?v=nxV1J9DOCkc
74,Feedback Episode,2021-06-07,https://www.youtube.com/watch?v=NLBj2F0Tq5g
75,The Impact of COVID-19 on Gender-based Violence | A UGHE Webinar,2020-12-01,https://www.youtube.com/watch?v=a7Ykns0ad5Y
76,Ending Gender Based Violence,2020-02-11,https://www.youtube.com/watch?v=b3K_X4qMbcI
77,Interview - Lancelot Odua Imasuen #4 (Nigeria),2020-12-10,https://www.youtube.com/watch?v=zKGNKWqoyz8
78,Violence against women in Nigeria,2020-02-12,https://www.youtube.com/watch?v=JJGa-oShP68
79,interview with Gayton McKenzie from the Patriot Alliance,2021-06-01,https://www.youtube.com/watch?v=tHiez7DXc-4
80,Stray Voltage - Saturday Stream (05 Jun 2021),2021-06-05,https://www.youtube.com/watch?v=MYqbPj8Gjfw
81,Panel discussion on Gender-Based Violence #OrangeTheWorld #16days #GenerationEquality  #HamroPalo,2020-11-25,https://www.youtube.com/watch?v=Dx0g9fKAr1k
82,Gender-Based Violence in Africa,2021-02-05,https://www.youtube.com/watch?v=NEOkEvKi2GY
83,"Speech By Barr Eze Onyekpere in Chief of Staff to the Governor's office, Adamawa State, Yola",2021-02-22,https://www.youtube.com/watch?v=D8nxl9c2rbo
84,STOP GBV,2021-05-21,https://www.youtube.com/watch?v=-hRnwhhHLCI
85,Impact of Sexual and Gender Based Violence on women's health,2021-05-29,https://www.youtube.com/watch?v=odgnJ9sP1-s
86,"""Nigerian Feminism is not real Feminism""| Gender Equality and Nigeria| HOW I SEE IT EP 1",2020-02-06,https://www.youtube.com/watch?v=3tVtzRRXt-M
87,"Speech by the Chief of Staff, Prof  Maxwell Gidado on Advocacy Visit Government House",2021-02-22,https://www.youtube.com/watch?v=V3KdamTO0nI
